Date,Task,Project,Count
2015-09-03,,,
,Daily Tasks,,1
2015-09-04,,,
,3 most imp. task for today(last change),iPhone Calendar Event,1
,Grand canyon planning ,Default Project,1
2015-09-05,,,
,Thich Nhat ,Reading books ,2
,K means understanding ,Machine learning,3
2015-09-06,,,
,K-means blogging ,Machine learning,2
,No Asshole rule ,Reading books ,1
,24 hour fitness ,Exercises ,2
,K means understanding ,Machine learning,3
2015-09-08,,,
,Hotfix,Work Apple,1
,Siri work,Work Apple,6
2015-09-09,,,
,Siri work,Work Apple,3
2015-09-10,,,
,No Asshole rule ,Reading books ,2
,En Category default ,Work Apple,2
2015-09-11,,,
,Bin definitive issue ,Work Apple,2
,Grand canyon planning ,Default Project,1
,En Category default ,Work Apple,5
2015-09-13,,,
,Linear Digression ,Podcast ,2
2015-09-14,,,
,Daily Tasks,,1
,ResourceFactory discussion,iPhone Calendar Event,1
,Japan prune Name,Work Apple,6
2015-09-15,,,
,Japan prune Name,Work Apple,3
2015-09-16,,,
,"Emails, Call, run online errands",iPhone Calendar Event,3
,Japan prune Name,Work Apple,1
,Siri radar verify ,Work Apple,1
,Code review ,Work Apple,1
2015-09-17,,,
,Japan prune Name,Work Apple,3
,24 hour fitness ,Exercises ,1
2015-09-18,,,
,Meditation ,Exercises ,6
2015-09-19,,,
,Meditation ,Exercises ,10
2015-09-20,,,
,Meditation ,Exercises ,5
,No Asshole rule ,Reading books ,1
2015-09-21,,,
,"Emails, Call, run online errands",iPhone Calendar Event,3
,Siri radar verify ,Work Apple,3
,Code review ,Work Apple,1
2015-09-22,,,
,Code review ,Work Apple,1
,Siri radar verify ,Work Apple,5
,Siri/Maps API Requirements,iPhone Calendar Event,3
2015-09-23,,,
,"Emails, Call, run online errands",iPhone Calendar Event,1
,RS strict name feature ,Work Apple,2
,No Asshole rule ,Reading books ,1
2015-09-24,,,
,Siri work,Work Apple,1
2015-09-26,,,
,Check calendar and Reminders,iPhone Calendar Event,1
,House clean,Default Project,5
2015-09-27,,,
,House clean,Default Project,4
2015-09-29,,,
,RS strict name feature ,Work Apple,2
2015-09-30,,,
,Awk blog,Machine learning,2
,Siri radar verify ,Work Apple,2
2015-10-01,,,
,"13,C",Work Apple,9
2015-10-06,,,
,"13,C",Work Apple,2
2015-10-07,,,
,"13,C",Work Apple,2
,Daily Tasks,,2
2015-10-09,,,
,Siri Japan Cfer,Work Apple,3
2015-10-11,,,
,"13,D",Work Apple,3
2015-10-12,,,
,"13,D",Work Apple,1
2015-10-13,,,
,"13,D",Work Apple,1
2015-10-14,,,
,"13,D",Work Apple,2
2015-10-18,,,
,RS strict name feature ,Work Apple,4
2015-10-19,,,
,No Asshole rule ,Reading books ,2
2015-10-31,,,
,Grand Canyon,Online work,2
2015-11-01,,,
,K-means Cluster,Machine learning,2
,Blog Medium,Online work,1
2015-11-02,,,
,Effective engineer,Reading books ,2
,One intentional life,Podcast ,1
2015-11-03,,,
,Effective engineer,Reading books ,1
,Blog Medium,Online work,1
2015-11-04,,,
,Current location,Work Apple,3
2015-11-06,,,
,Current location,Work Apple,1
2015-11-07,,,
,Photography,Online work,3
2015-11-08,,,
,Effective engineer,Reading books ,6
,Blog Medium,Online work,6
,One intentional life,Podcast ,6
,K-means Cluster,Machine learning,12
2015-11-09,,,
,Daily Tasks,,3
2015-11-10,,,
,K-means Cluster,Machine learning,6
,Current location,Work Apple,12
,"Emails, Call, run online errands",iPhone Calendar Event,3
2015-11-11,,,
,Effective engineer,Reading books ,9
2015-11-12,,,
,One intentional life,Podcast ,1
2015-11-14,,,
,Yoga,Exercises ,2
,Daily Tasks,,1
,House clean,Default Project,6
,One intentional life,Podcast ,1
2015-11-15,,,
,Bills Errands,Online work,2
,One intentional life,Podcast ,4
2015-11-16,,,
,Note to Self,Podcast ,1
,Bills Errands,Online work,1
2015-11-20,,,
,Effective engineer,Reading books ,3
2015-11-21,,,
,One intentional life,Podcast ,2
2015-11-25,,,
,Daily Tasks,,3
2015-11-30,,,
,Effective engineer,Reading books ,1
2015-12-01,,,
,Effective engineer,Reading books ,2
,Daily Tasks,,1
2015-12-04,,,
,Gym,Exercises ,3
2015-12-06,,,
,One intentional life,Podcast ,1
2015-12-07,,,
,Gym,Exercises ,3
,K-means Cluster,Machine learning,2
,One intentional life,Podcast ,3
2015-12-08,,,
,Effective engineer,Reading books ,3
,One intentional life,Podcast ,1
2015-12-09,,,
,One intentional life,Podcast ,2
2015-12-10,,,
,Gym,Exercises ,3
2015-12-11,,,
,Effective engineer,Reading books ,1
2015-12-13,,,
,Effective engineer,Reading books ,2
2015-12-15,,,
,Gym,Exercises ,3
2015-12-22,,,
2016-01-06,,,
,Test,Work Apple,2
2016-01-12,,,
,One Intentional life Calendar,Podcast ,1
,One Intentional Life Pomodoro Ep 9,Podcast ,1
,One Intentional life Morning routines Ep 10,Podcast ,1
2016-01-14,,,
,iPhone watch issue,Work,1
,One Intentional life Morning routines Ep 10,Podcast ,1
,2016 goal planning,Tentative 2016 goals,2
,Bullet journal,Tentative 2016 goals,1
2016-01-15,,,
,Send email on POI plugin,Work,3
2016-01-16,,,
,300 miles run,Health goal,1
,Meditation,Habbit,2
,Yoga,Habbit,1
,Weekly review every week,Habbit,1
,Clean house,Habbit,1
,Chain MM match A/B,Work Apple,2
,Remove definitive,Work Apple,3
2016-01-17,,,
,Pay Hemal rent,Sat 16th,2
,But running shoes,Sun 17th Jan,1
2016-01-18,,,
,Gym thrice a week,Habbit,3
,Mining massive data set,ML related,4
,K-means blog,Machine learning,5
2016-01-19,,,
,Read Bhagavad Gita,Reading,1
,MM Chain category subsume name,A/B projects,7
2016-01-20,,,
,Planning,SATR,2
,MM Chain category subsume name,A/B projects,1
,Design doc,SATR,3
2016-01-21,,,
,Gym thrice a week,Habbit,9
2016-01-23,,,
,Meditation,Habbit,3
,Clean house,Habbit,6
,Yoga,Habbit,3
2016-01-25,,,
,Gym thrice a week,Habbit,2
2016-01-28,,,
,Bills Errands,Online work,1
,Poi chrome plugin,Apple Projects,9
2016-01-29,,,
,Poi chrome plugin,Apple Projects,3
2016-01-30,,,
,Weekly review every week,Habbit,1
,Foursquare Coding,ML related,1
,House clean,Default Project,2
,300 miles run,Health goal,1
,Daily Tasks,,2
2016-01-31,,,
,House clean,Default Project,5
,Foursquare Coding,ML related,1
2016-02-01,,,
,Debug Satr,SATR,5
,One Intentional life Morning routines Ep 10,Podcast ,2
,300 miles run,Health goal,1
,Read Bhagavad Gita,Reading,1
2016-02-02,,,
,Pref name first IBE,A/B projects,7
2016-02-03,,,
,HIIT,Health goal,2
,Read Bhagavad Gita,Reading,1
,One Intentional life Morning routines Ep 10,Podcast ,1
2016-02-04,,,
,Pref name first IBE,A/B projects,4
2016-02-05,,,
,Foursquare Coding,ML related,2
,"Emails, Call, run online errands",iPhone Calendar Event,1
,HIIT,Health goal,1
,Pref name first IBE,A/B projects,1
,Arms day,Habbit,1
2016-02-06,,,
,Weekly review every week,Habbit,1
,Foursquare Coding,ML related,2
,Daily Review,Habbit,2
,300 miles run,Health goal,2
,Foursquare blogging,ML related,4
2016-02-07,,,
,Pref name first IBE,A/B projects,12
2016-02-08,,,
,Legs day,Habbit,1
,HIIT,Health goal,1
2016-02-10,,,
,HIIT,Health goal,1
2016-02-13,,,
,300 miles run,Health goal,2
,Meditation,Habbit,1
,Daily Tasks,,1
2016-02-16,,,
,HIIT,Health goal,1
,Chest,Habbit,1
,Pref name first IBE,A/B projects,6
2016-02-17,,,
,Pref name first IBE,A/B projects,6
2016-02-18,,,
,Pref name first IBE,A/B projects,4
2016-02-19,,,
,Daily Review,Habbit,1
2016-02-20,,,
,One intentional life Read it Later Ep 11,Podcast ,1
,Clean house,Habbit,2
,300 miles run,Health goal,2
2016-02-21,,,
,One intentional life Read it Later Ep 11,Podcast ,2
2016-02-22,,,
,One Intentional life Speed reading Ep 14,Podcast ,3
,Pref name first IBE,A/B projects,5
2016-02-23,,,
,Map fresh viewport,A/B projects,3
,Pref name first IBE,A/B projects,2
2016-02-24,,,
,Pref name first IBE,A/B projects,2
2016-02-25,,,
,Pref name first IBE,A/B projects,5
2016-02-26,,,
