Date,Pomodoro,Project,Count
2015-10-01,"13,C",Work Apple,9
2015-10-06,"13,C",Work Apple,3
2015-10-07,"13,C",Work Apple,1
2015-10-11,"13,D",Work Apple,3
2015-10-12,"13,D",Work Apple,1
2015-10-13,"13,D",Work Apple,1
2015-10-14,"13,D",Work Apple,2
2016-01-14,2016 goal planning,Tentative 2016 goals,2
2015-09-06,24 hour fitness ,Exercises ,2
2015-09-17,24 hour fitness ,Exercises ,1
2016-03-02,3 most imp. task for tomorrow,iPhone Calendar Event,1
2016-01-30,300 miles run,Health goal,1
2016-02-01,300 miles run,Health goal,1
2016-02-06,300 miles run,Health goal,2
2016-02-13,300 miles run,Health goal,2
2016-02-20,300 miles run,Health goal,2
2016-02-27,300 miles run,Health goal,2
2016-03-02,300 miles run,Health goal,1
2016-03-12,300 miles run,Health goal,2
2016-03-14,300 miles run,Health goal,1
2016-03-16,300 miles run,Health goal,1
2016-03-21,300 miles run,Health goal,1
2016-03-27,300 miles run,Health goal,1
2016-03-29,300 miles run,Health goal,1
2016-04-06,300 miles run,Health goal,1
2017-01-09,4-Hour Body Tim Ferris,2017 Podcast,2
2017-01-10,4-Hour Body Tim Ferris,2017 Podcast,3
2017-01-12,4-Hour Body Tim Ferris,2017 Podcast,1
2017-01-20,4-Hour Body Tim Ferris,2017 Podcast,1
2017-01-25,4-Hour Body Tim Ferris,2017 Podcast,3
2017-01-30,4-Hour Body Tim Ferris,2017 Podcast,2
2016-05-08,500 miles bike,Health goal,3
2016-03-07,ADHD experts podcast,Podcast,2
2016-03-07,ADHD re-wired,Podcast,2
2016-03-11,ADHD re-wired,Podcast,1
2016-03-12,ADHD re-wired,Podcast,1
2016-03-13,ADHD re-wired,Podcast,2
2016-03-22,ADHD re-wired,Podcast,1
2016-03-25,ADHD re-wired,Podcast,2
2016-03-29,ADHD re-wired,Podcast,2
2016-04-02,ADHD re-wired,Podcast,1
2017-01-16,Algo recap,2017 Job change,6
2017-02-16,Algo recap,2017 Job change,8
2017-02-18,Algo recap,2017 Job change,13
2017-02-19,Algo recap,2017 Job change,18
2017-02-20,Algo recap,2017 Job change,4
2017-02-21,Algo recap,2017 Job change,6
2017-06-07,Algo recap,2017 Job change,4
2017-06-11,Algo recap,2017 Job change,12
2017-06-12,Algo recap,2017 Job change,3
2017-06-13,Algo recap,2017 Job change,4
2017-06-14,Algo recap,2017 Job change,13
2017-06-19,Algo recap,2017 Job change,7
2017-06-20,Algo recap,2017 Job change,6
2017-06-27,Algo recap,2017 Job change,9
2017-07-04,Algo recap,2017 Job change,12
2017-07-06,Algo recap,2017 Job change,5
2017-07-09,Algo recap,2017 Job change,14
2017-07-10,Algo recap,2017 Job change,7
2017-07-12,Algo recap,2017 Job change,9
2017-07-16,Algo recap,2017 Job change,23
2017-07-18,Algo recap,2017 Job change,10
2017-07-19,Algo recap,2017 Job change,1
2017-07-20,Algo recap,2017 Job change,1
2017-07-21,Algo recap,2017 Job change,13
2017-07-23,Algo recap,2017 Job change,4
2017-07-24,Algo recap,2017 Job change,4
2017-07-25,Algo recap,2017 Job change,2
2017-07-26,Algo recap,2017 Job change,7
2017-08-06,Algo recap,2017 Job change,20
2017-11-21,Algo recap,2017 Job change,18
2017-11-22,Algo recap,2017 Job change,18
2017-12-02,Algo recap,2017 Job change,26
2017-12-03,Algo recap,2017 Job change,25
2017-12-04,Algo recap,2017 Job change,8
2017-12-05,Algo recap,2017 Job change,21
2017-12-06,Algo recap,2017 Job change,24
2017-12-09,Algo recap,2017 Job change,18
2017-12-10,Algo recap,2017 Job change,24
2017-12-13,Algo recap,2017 Job change,22
2017-12-14,Algo recap,2017 Job change,6
2018-01-09,Algo recap,2017 Job change,14
2018-01-10,Algo recap,2017 Job change,3
2018-01-11,Algo recap,2017 Job change,5
2018-01-15,Algo recap,2017 Job change,22
2018-01-20,Algo recap,2017 Job change,13
2018-02-19,Algo recap,2017 Job change,2
2018-03-02,Algo recap,2017 Job change,6
2016-05-04,Analysis,32 A/B: Viewport expansion,2
2016-05-05,Analysis,32 A/B: Viewport expansion,9
2016-05-06,Analysis,32 A/B: Viewport expansion,5
2016-05-09,Analysis,32 A/B: Viewport expansion,6
2016-05-10,Analysis,32 A/B: Viewport expansion,7
2016-05-11,Analysis,32 A/B: Viewport expansion,2
2016-05-12,Analysis,32 A/B: Viewport expansion,9
2016-06-01,Analysis,32 A/B: Viewport expansion,3
2016-06-02,Analysis,32 A/B: Viewport expansion,1
2016-05-03,And query radar,Work Apple,3
2016-02-05,Arms day,Habbit,1
2016-04-14,Arms day,Habbit,1
2016-04-26,Arms day,Habbit,1
2016-05-05,Arms day,Habbit,2
2016-05-15,Arms day,Habbit,1
2016-05-22,Arms day,Habbit,1
2016-05-28,Arms day,Habbit,1
2016-06-01,Arms day,Habbit,2
2016-06-10,Arms day,Habbit,1
2016-07-29,Arms day,Habbit,2
2016-08-08,Arms day,Habbit,1
2016-08-18,Arms day,Habbit,1
2016-09-16,Arms day,Habbit,1
2016-09-29,Arms day,Habbit,1
2016-11-09,Arms day,Habbit,1
2016-11-11,Arms day,Habbit,1
2017-02-04,Arms day,Habbit,1
2017-03-20,Arms day,Habbit,1
2017-03-21,Arms day,Habbit,1
2017-03-24,Arms day,Habbit,1
2017-04-06,Arms day,Habbit,1
2017-04-07,Arms day,Habbit,1
2017-04-13,Arms day,Habbit,2
2017-04-19,Arms day,Habbit,1
2017-04-26,Arms day,Habbit,1
